asset_uid,asset_code,asset_name,asset_type,category,configuration_details,quantity,rate,warranty_end_date,warranty_end_year,purchase_date,po_invoice_bill_no,po_invoice_bill_path,tagname_hostname,serial_number,vendor_name,assigned_to,asset_location,status,remarks,source_sheet,source_row,duplicate_warning,live_sync_status,live_hostname,live_machine_id,live_last_seen
HW-CAABF9D71A,NXT-HED-37,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,37,,,Laptop/Headphone Master,,,Sheet2,53,duplicate merged from Headphone Details row 41,not_checked,,,
HW-D46EC6A43A,NXT-HED-38,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,38,,,Laptop/Headphone Master,,,Sheet2,54,duplicate merged from Headphone Details row 42,not_checked,,,
HW-B11FAC1062,NXT-HED-39,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,39,,,Laptop/Headphone Master,,,Sheet2,55,duplicate merged from Headphone Details row 43,not_checked,,,
HW-CC38C68990,NXT-HED-40,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,40,,,Laptop/Headphone Master,,,Sheet2,56,duplicate merged from Headphone Details row 44,not_checked,,,
HW-256DB5A646,NXT-HED-41,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,41,,,Laptop/Headphone Master,,,Sheet2,57,duplicate merged from Headphone Details row 45,not_checked,,,
HW-7AD8B02020,NXT-HED-42,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,42,,,Laptop/Headphone Master,,,Sheet2,58,duplicate merged from Headphone Details row 46,not_checked,,,
HW-EB33706437,NXT-HED-43,RAZER Z1,Head Phone,Head Phone,Black Head phone with mick,1,,,,,,,,43,,,Laptop/Headphone Master,,,Sheet2,59,duplicate merged from Headphone Details row 47,not_checked,,,
HW-05437D03C0,,Router,Router,Router,TP Link Omada ER8411 (11 - port),1,,,,,,,,NA,,Sagar,Network Room 1,Working,,Network Room,7,,not_checked,,,
HW-46C9300E7E,,N/w Switch -24 port,N/w Switch -24 port,N/w Switch -24 port,D - Link Manageable,1,,,,,,,,NA,,Sagar,Network Room 1,Working,Stand by,Network Room,8,,not_checked,,,
HW-46C9300E7E,,N/w Switch -24 port,N/w Switch -24 port,N/w Switch -24 port,D - Link Manageable,1,,,,,,,,NA,,Sagar,Network Room 1,Working,Stand by,Network Room,9,,not_checked,,,
HW-15D849A14B,,N/w Switch -48 port,N/w Switch -48 port,N/w Switch -48 port,D - Link Manageable,1,,,,,,,,NA,,Sagar,Network Room 1,Working,,Network Room,10,,not_checked,,,
HW-91AFC7FDA1,,Network Rack,Network Rack,Network Rack,6-U rack with 2 fan with oatch pannel,1,,,,,,,,NA,,Sagar,Network Room 1,Working,,Network Room,11,,not_checked,,,
HW-91AFC7FDA1,,Network Rack,Network Rack,Network Rack,2-U rack with 1 fan,1,,,,,,,,NA,,Sagar,Network Room 1,Working,,Network Room,12,,not_checked,,,
HW-68B8E5564C,,PoE Switch,PoE Switch,PoE Switch,D link -PoE switch for camra,1,,,,,,,,NA,,Sagar,Network Room 1,Working,,Network Room,13,,not_checked,,,
HW-68B8E5564C,,PoE Switch,PoE Switch,PoE Switch,D link -PoE switch for camra,1,,,,,,,,NA,,Sagar,Network Room 1,Working,,Network Room,14,,not_checked,,,
HW-49912494BB,,NVR,NVR,NVR,Hikvision with Cable,1,,,,,,,,NA,,Sagar,Network Room 1,Working,,Network Room,15,,not_checked,,,
HW-2573E3E2C9,,Moniter for camara,Moniter for camara,Moniter for camara,Smsung 21'' monitor - with key board and mouse,1,,,,,,,,NA,,Sagar,Network Room 1,Working,,Network Room,16,,not_checked,,,
HW-E31455462C,,Calling unit,Calling unit,Calling unit,8-port central contol calling unit,1,,,,,,,,NA,,Sagar,Network Room 1,Working,,Network Room,17,,not_checked,,,
HW-85536A5C6A,,Airtel wifi router,Airtel wifi router,Airtel wifi router,Airtel Router,1,,,,,,,,NA,,Sagar,Network Room 1,Working,,Network Room,18,,not_checked,,,
HW-6EA52F6F2B,,Nayak Tecknlogy,Nayak Tecknlogy,Nayak Tecknlogy,Microtech,1,,,,,,,,NA,,Sagar,Network Room 1,Working,,Network Room,19,,not_checked,,,
HW-56C9839059,,LL Setup - Fiber net,LL Setup - Fiber net,LL Setup - Fiber net,Fiber patch panel with router,1,,,,,,,,NA,,Sagar,Network Room 1,Working,,Network Room,20,,not_checked,,,
HW-7CAAF72209,,2- Access point,2- Access point,2- Access point,TP Link wifi access point on Hall and conferens room,1,,,,,,,,NA,,Sagar,Network Room 1,Working,In working hall and in front of director room,Network Room,21,,not_checked,,,
